Row Labels,Average of Price ,Average of Max resolution,Average of Effective pixels,Average of Zoom tele (T),Average of Zoom wide (W)
Agfa,351.86,1161,0.43,72.00,40.57
1997,179.00,1024,0.00,114.00,38.00
ePhoto 1280,179.00,1024,0.00,114.00,38.00
1998,179.00,1280,1.00,114.00,38.00
ePhoto 1680,179.00,1280,1.00,114.00,38.00
1999,582.33,1195,0.33,60.00,37.33
ePhoto CL30,269.00,1152,0.00,35.00,35.00
ePhoto CL30 Clik!,1299.00,1152,0.00,43.00,43.00
ePhoto CL50,179.00,1280,1.00,102.00,34.00
2000,179.00,640,0.00,45.00,45.00
ePhoto CL18,179.00,640,0.00,45.00,45.00
2001,179.00,1600,1.00,51.00,51.00
ePhoto CL45,179.00,1600,1.00,51.00,51.00
Canon,682.09,2623,5.27,110.62,29.78
1996,139.00,832,0.00,50.00,50.00
PowerShot 600,139.00,832,0.00,50.00,50.00
1997,149.00,640,0.00,42.00,42.00
PowerShot 350,149.00,640,0.00,42.00,42.00
1998,174.00,1280,0.50,52.50,31.50
PowerShot A5,149.00,1024,0.00,35.00,35.00
PowerShot Pro70,199.00,1536,1.00,70.00,28.00
1999,232.33,1301,0.67,70.00,30.33
PowerShot A5 Zoom,149.00,1024,0.00,70.00,28.00
PowerShot A50,149.00,1280,1.00,70.00,28.00
PowerShot S10,399.00,1600,1.00,70.00,35.00
2000,411.50,1964,2.50,59.00,25.25
EOS D30,549.00,2160,3.00,0.00,0.00
PowerShot G1,499.00,2048,3.00,102.00,34.00
PowerShot S100,199.00,1600,1.00,70.00,35.00
PowerShot S20,399.00,2048,3.00,64.00,32.00
2001,732.89,1888,2.11,118.56,31.22
EOS-1D,4499.00,2464,4.00,0.00,0.00
PowerShot A10,139.00,1280,1.00,105.00,35.00
PowerShot A20,139.00,1600,1.00,105.00,35.00
PowerShot G2,499.00,2272,3.00,102.00,34.00
PowerShot Pro90 IS,384.00,1856,2.00,370.00,37.00
PowerShot S110,199.00,1600,1.00,70.00,35.00
PowerShot S30,399.00,2048,3.00,105.00,35.00
PowerShot S300,199.00,1600,1.00,105.00,35.00
PowerShot S40,139.00,2272,3.00,105.00,35.00
2002,939.91,2063,2.91,70.73,29.36
EOS D60,549.00,3072,6.00,0.00,0.00
EOS-1Ds,7999.00,4064,11.00,0.00,0.00
PowerShot A100,139.00,1280,1.00,39.00,39.00
PowerShot A200,139.00,1600,1.00,39.00,39.00
PowerShot A30,139.00,1280,1.00,105.00,35.00
PowerShot A40,139.00,1600,1.00,105.00,35.00
PowerShot G3,499.00,2272,3.00,140.00,35.00
PowerShot S200,199.00,1600,1.00,70.00,35.00
PowerShot S230,199.00,2048,3.00,70.00,35.00
PowerShot S330,199.00,1600,1.00,105.00,35.00
PowerShot S45,139.00,2272,3.00,105.00,35.00
2003,385.36,2353,3.73,74.36,29.09
EOS 10D,1299.00,3072,6.00,0.00,0.00
EOS 300D / Digital Rebel,1299.00,3072,6.00,0.00,0.00
PowerShot A300,139.00,2048,3.00,33.00,33.00
PowerShot A60,139.00,1600,1.00,105.00,35.00
PowerShot A70,139.00,2048,3.00,105.00,35.00
PowerShot A80,139.00,2272,3.00,114.00,38.00
PowerShot G5,149.00,2592,5.00,140.00,35.00
PowerShot S400,139.00,2272,3.00,108.00,36.00
PowerShot S50,399.00,2592,5.00,105.00,35.00
PowerShot SD10,199.00,2272,3.00,38.00,38.00
PowerShot SD100,199.00,2048,3.00,70.00,35.00
2004,916.37,2678,5.37,100.63,29.42
EOS 20D,1299.00,3504,8.00,0.00,0.00
EOS-1D Mark II,4499.00,3504,8.00,0.00,0.00
EOS-1Ds Mark II,7999.00,4992,16.00,0.00,0.00
PowerShot A310,139.00,2048,3.00,33.00,33.00
PowerShot A400,139.00,2048,3.00,100.00,45.00
PowerShot A75,139.00,2048,3.00,105.00,35.00
PowerShot A85,139.00,2272,4.00,105.00,35.00
PowerShot A95,139.00,2592,5.00,114.00,38.00
PowerShot G6,499.00,3072,7.00,140.00,35.00
PowerShot Pro1,139.00,3264,8.00,200.00,28.00
PowerShot S1 IS,399.00,2048,3.00,380.00,38.00
PowerShot S410,139.00,2272,3.00,108.00,36.00
PowerShot S500,149.00,2592,5.00,108.00,36.00
PowerShot S60,399.00,2592,5.00,100.00,28.00
PowerShot S70,399.00,3072,7.00,100.00,28.00
PowerShot SD110,199.00,2048,3.00,70.00,35.00
PowerShot SD20,199.00,2592,5.00,39.00,39.00
PowerShot SD200,199.00,2048,3.00,105.00,35.00
PowerShot SD300,199.00,2272,3.00,105.00,35.00
2005,723.12,2896,6.12,108.82,27.18
EOS 20Da,1299.00,3504,8.00,0.00,0.00
EOS 350D / Digital Rebel XT,1299.00,3456,8.00,0.00,0.00
EOS 5D,2499.00,4368,12.00,0.00,0.00
EOS-1D Mark II N,4499.00,3504,8.00,0.00,0.00
PowerShot A410,139.00,2048,3.00,131.00,41.00
PowerShot A510,139.00,2048,3.00,140.00,35.00
PowerShot A520,149.00,2272,3.00,140.00,35.00
PowerShot A610,139.00,2592,5.00,140.00,35.00
PowerShot A620,139.00,3072,7.00,140.00,35.00
PowerShot S2 IS,399.00,2592,5.00,432.00,36.00
PowerShot S80,399.00,3264,8.00,100.00,28.00
PowerShot SD30,199.00,2592,5.00,90.00,38.00
PowerShot SD400,199.00,2592,5.00,105.00,35.00
PowerShot SD430 Wireless,199.00,2592,5.00,105.00,35.00
PowerShot SD450,199.00,2592,5.00,105.00,35.00
PowerShot SD500,199.00,3072,7.00,111.00,37.00
PowerShot SD550,199.00,3072,7.00,111.00,37.00
2006,344.00,3047,7.00,142.17,31.50
EOS 30D,1299.00,3504,8.00,0.00,0.00
EOS 400D / Digital Rebel XTi,1299.00,3888,10.00,0.00,0.00
PowerShot A420,139.00,2272,4.00,125.00,39.00
PowerShot A430,139.00,2272,4.00,156.00,39.00
PowerShot A530,149.00,2592,5.00,140.00,35.00
PowerShot A540,149.00,2816,6.00,140.00,35.00
PowerShot A630,139.00,3264,8.00,140.00,35.00
PowerShot A640,139.00,3648,10.00,140.00,35.00
PowerShot A700,139.00,2816,6.00,210.00,35.00
PowerShot A710 IS,139.00,3072,7.00,210.00,35.00
PowerShot G7,499.00,3648,10.00,210.00,35.00
PowerShot S3 IS,399.00,2816,6.00,432.00,36.00
PowerShot SD40,199.00,3072,7.00,90.00,38.00
PowerShot SD600,199.00,2816,6.00,105.00,35.00
PowerShot SD630,199.00,2816,6.00,105.00,35.00
PowerShot SD700 IS,384.00,2816,6.00,140.00,35.00
PowerShot SD800 IS,384.00,3072,7.00,105.00,28.00
PowerShot SD900,199.00,3648,10.00,111.00,37.00
2007,967.95,3438,8.89,162.84,29.79
EOS 40D,1299.00,3888,10.00,0.00,0.00
EOS-1D Mark III,4499.00,3888,10.00,0.00,0.00
EOS-1Ds Mark III,7999.00,5616,21.00,0.00,0.00
PowerShot A450,139.00,2592,5.00,122.00,38.00
PowerShot A460,139.00,2592,5.00,152.00,38.00
PowerShot A550,149.00,3072,7.00,140.00,35.00
PowerShot A560,149.00,3072,7.00,140.00,35.00
PowerShot A570 IS,149.00,3072,7.00,140.00,35.00
PowerShot A650 IS,399.00,4000,12.00,210.00,35.00
PowerShot A720 IS,399.00,3264,8.00,210.00,35.00
PowerShot G9,499.00,4000,12.00,210.00,35.00
PowerShot S5 IS,399.00,3264,8.00,432.00,36.00
PowerShot SD1000,199.00,3072,7.00,105.00,35.00
PowerShot SD750,384.00,3072,7.00,105.00,35.00
PowerShot SD850 IS,384.00,3264,8.00,140.00,35.00
PowerShot SD870 IS,384.00,3264,8.00,105.00,28.00
PowerShot SD950 IS,384.00,4000,12.00,133.00,36.00
PowerShot SX100 IS,299.00,3264,8.00,360.00,36.00
PowerShot TX1,139.00,3072,7.00,390.00,39.00
Casio,270.27,2364,4.33,115.59,37.19
1996,249.00,640,0.00,106.00,47.00
QV-300,249.00,640,0.00,106.00,47.00
1997,249.00,640,0.00,38.00,38.00
QV-700,249.00,640,0.00,38.00,38.00
1998,249.00,1067,0.67,45.67,35.00
QV-5000SX,249.00,1280,1.00,35.00,35.00
QV-7000SX,249.00,1280,1.00,64.00,32.00
QV-770,249.00,640,0.00,38.00,38.00
1999,249.00,1387,1.00,154.67,37.33
QV-2000UX,249.00,1600,1.00,108.00,36.00
QV-5500SX,249.00,1280,1.00,36.00,36.00
QV-8000SX,249.00,1280,1.00,320.00,40.00
2000,249.00,1824,2.00,146.00,38.75
QV-2300UX,249.00,1600,1.00,123.00,41.00
QV-2800UX,249.00,1600,1.00,320.00,40.00
QV-3000EX,249.00,2048,3.00,100.00,33.00
QV-3EX,249.00,2048,3.00,41.00,41.00
2001,249.00,1728,1.67,120.17,37.33
GV-10,249.00,1280,1.00,35.00,35.00
QV-2100,249.00,1600,1.00,41.00,41.00
QV-2400UX,249.00,1600,1.00,123.00,41.00
QV-2900UX,249.00,1600,1.00,320.00,40.00
QV-3500EX,249.00,2048,3.00,100.00,33.00
QV-4000,249.00,2240,3.00,102.00,34.00
2002,249.00,2128,3.00,90.75,36.25
GV-20,249.00,1600,1.00,35.00,35.00
QV-5700,249.00,2560,4.00,102.00,34.00
QV-R3,249.00,2048,3.00,113.00,38.00
QV-R4,249.00,2304,4.00,113.00,38.00
2003,281.00,2061,3.00,79.40,35.80
Exilim EX-S20,249.00,1600,1.00,35.00,35.00
Exilim EX-S3,249.00,2048,3.00,35.00,35.00
Exilim EX-Z3,329.00,2048,3.00,105.00,35.00
Exilim EX-Z4,329.00,2304,4.00,105.00,35.00
QV-R40,249.00,2304,4.00,117.00,39.00
2004,278.09,2537,4.64,114.00,36.18
Exilim EX-P600,249.00,2816,5.00,132.00,33.00
Exilim EX-P700,249.00,3072,7.00,132.00,33.00
Exilim EX-S100,249.00,2048,3.00,102.00,36.00
Exilim EX-Z30,329.00,2048,3.00,105.00,35.00
Exilim EX-Z40,329.00,2304,4.00,105.00,35.00
Exilim EX-Z50,329.00,2560,5.00,105.00,35.00
Exilim EX-Z55,329.00,2560,5.00,105.00,35.00
QV-R41,249.00,2304,3.00,117.00,39.00
QV-R51,249.00,2560,4.00,117.00,39.00
QV-R61,249.00,2816,6.00,117.00,39.00
QV-R62,249.00,2816,6.00,117.00,39.00
2005,287.89,2731,5.33,121.44,37.00
Exilim EX-P505,249.00,2560,4.00,190.00,38.00
Exilim EX-S500,249.00,2560,4.00,114.00,38.00
Exilim EX-S600,249.00,2816,6.00,114.00,38.00
Exilim EX-Z10,329.00,2560,5.00,114.00,35.00
Exilim EX-Z110,329.00,2816,6.00,114.00,35.00
Exilim EX-Z120,329.00,3072,7.00,114.00,38.00
Exilim EX-Z500,329.00,2560,5.00,114.00,38.00
Exilim EX-Z57,199.00,2560,4.00,105.00,35.00
Exilim EX-Z750,329.00,3072,7.00,114.00,38.00
2006,282.75,3040,6.88,114.00,38.00
Exilim EX-S600d,249.00,2816,6.00,114.00,38.00
Exilim EX-S770,249.00,3072,7.00,114.00,38.00
Exilim EX-Z1000,329.00,3648,10.00,114.00,38.00
Exilim EX-Z5,329.00,2560,4.00,114.00,38.00
Exilim EX-Z60,329.00,2816,6.00,114.00,38.00
Exilim EX-Z70,199.00,3072,7.00,114.00,38.00
Exilim EX-Z700,329.00,3072,7.00,114.00,38.00
Exilim EX-Z850,249.00,3264,8.00,114.00,38.00
2007,279.00,3380,8.63,151.63,37.88
Exilim EX-S880,249.00,3264,8.00,114.00,38.00
Exilim EX-V7,299.00,3072,7.00,266.00,38.00
Exilim EX-V8,299.00,3264,8.00,266.00,38.00
Exilim EX-Z1050,329.00,3648,10.00,114.00,38.00
Exilim EX-Z1080,329.00,3648,10.00,114.00,38.00
Exilim EX-Z1200 SR,329.00,4000,12.00,111.00,37.00
Exilim EX-Z75,199.00,3072,7.00,114.00,38.00
Exilim EX-Z77,199.00,3072,7.00,114.00,38.00
Contax,549.00,2800,5.00,52.50,17.50
2000,549.00,3040,6.00,0.00,0.00
N Digital,549.00,3040,6.00,0.00,0.00
2002,549.00,2560,4.00,105.00,35.00
TVS Digital,549.00,2560,4.00,105.00,35.00
Epson,529.67,1702,2.07,70.20,33.80
1997,229.00,768,0.00,40.67,40.67
PhotoPC 500,229.00,640,0.00,43.00,43.00
PhotoPC 550,229.00,640,0.00,43.00,43.00
PhotoPC 600,229.00,1024,0.00,36.00,36.00
1998,229.00,1280,1.00,68.50,34.50
PhotoPC 700,229.00,1280,1.00,35.00,35.00
PhotoPC 750 Zoom,229.00,1280,1.00,102.00,34.00
1999,229.00,1451,0.67,60.67,37.33
PhotoPC 650,229.00,1152,0.00,39.00,39.00
PhotoPC 800,229.00,1600,1.00,38.00,38.00
PhotoPC 850 Zoom,229.00,1600,1.00,105.00,35.00
2000,399.00,2048,3.00,102.00,34.00
PhotoPC 3000 Zoom,399.00,2048,3.00,102.00,34.00
2001,399.00,2048,3.00,102.00,34.00
PhotoPC 3100 Zoom,399.00,2048,3.00,102.00,34.00
2003,264.00,2176,3.50,102.00,34.00
PhotoPC L-300,399.00,2048,3.00,102.00,34.00
PhotoPC L-400,129.00,2304,4.00,102.00,34.00
2004,1595.67,2624,4.67,68.00,22.67
PhotoPC L-410,129.00,2304,4.00,102.00,34.00
PhotoPC L-500V,159.00,2560,4.00,102.00,34.00
R-D1,4499.00,3008,6.00,0.00,0.00
Fujifilm,297.38,2559,4.11,129.30,33.99
1997,169.00,1280,1.00,105.00,35.00
DS-300,169.00,1280,1.00,105.00,35.00
1998,169.00,1280,1.00,35.00,35.00
MX-500,169.00,1280,1.00,35.00,35.00
MX-700,169.00,1280,1.00,35.00,35.00
1999,171.86,1429,1.29,78.57,36.71
DS-260HD,169.00,1280,1.00,105.00,35.00
MX-1200,169.00,1280,1.00,38.00,38.00
MX-1500,169.00,1280,1.00,38.00,38.00
MX-1700,169.00,1280,1.00,114.00,38.00
MX-2700,169.00,1800,2.00,35.00,35.00
MX-2900 Zoom,179.00,1800,2.00,105.00,35.00
MX-600 Zoom,179.00,1280,1.00,115.00,38.00
2000,387.57,2057,1.71,88.57,31.57
FinePix 1300,169.00,1280,1.00,38.00,38.00
FinePix 2400 Zoom,169.00,1600,1.00,114.00,38.00
FinePix 40i,169.00,2400,2.00,36.00,36.00
FinePix 4700 Zoom,169.00,2400,2.00,108.00,36.00
FinePix 4900 Zoom,169.00,2400,2.00,210.00,35.00
FinePix S1 Pro,1699.00,3040,3.00,0.00,0.00
MX-1400,169.00,1280,1.00,114.00,38.00
2001,172.00,1974,1.60,95.00,36.50
FinePix 2300,169.00,1600,1.00,36.00,36.00
FinePix 2600 Zoom,169.00,1600,1.00,114.00,38.00
FinePix 2800 Zoom,169.00,1600,1.00,228.00,38.00
Finepix 30i,199.00,1600,1.00,38.00,38.00
FinePix 4800 Zoom,169.00,2400,2.00,108.00,36.00
FinePix 50i,169.00,2400,2.00,36.00,36.00
FinePix 6800 Zoom,169.00,2832,3.00,108.00,36.00
FinePix 6900 Zoom,169.00,2832,3.00,210.00,35.00
FinePix A101,169.00,1280,1.00,36.00,36.00
FinePix A201,169.00,1600,1.00,36.00,36.00
2002,464.83,2424,2.58,113.58,34.08
FinePix 2650,169.00,1600,1.00,114.00,38.00
FinePix 3800,399.00,2048,3.00,228.00,38.00
FinePix A200,169.00,1600,1.00,36.00,36.00
FinePix A203,169.00,1600,1.00,114.00,38.00
FinePix A303,169.00,2048,3.00,114.00,38.00
FinePix F401 Zoom,169.00,2304,2.00,114.00,38.00
FinePix F402,199.00,2304,2.00,39.00,39.00
FinePix F601Z,169.00,2832,3.00,108.00,36.00
FinePix M603,169.00,2832,3.00,76.00,38.00
FinePix S2 Pro,1699.00,4256,6.00,0.00,0.00
FinePix S602Z,399.00,2832,3.00,210.00,35.00
FinePix S602Z Pro,1699.00,2832,3.00,210.00,35.00
2003,187.00,2789,3.40,157.00,36.40
FinePix A205 Zoom,169.00,1600,1.00,108.00,36.00
FinePix A210 Zoom,169.00,2048,3.00,108.00,36.00
FinePix A310 Zoom,169.00,2816,3.00,114.00,38.00
FinePix F410 Zoom,169.00,2816,3.00,114.00,38.00
FinePix F420 Zoom,169.00,2816,3.00,108.00,36.00
FinePix F610,169.00,4048,6.00,105.00,35.00
FinePix F700,169.00,2832,3.00,105.00,35.00
FinePix S3000 Z,229.00,2048,3.00,228.00,38.00
FinePix S5000 Z,229.00,2816,3.00,370.00,37.00
FinePix S7000 Z,229.00,4048,6.00,210.00,35.00
2004,385.00,2750,4.47,136.13,32.73
FinePix A120,169.00,2016,3.00,38.00,38.00
FinePix A330,169.00,2016,3.00,114.00,38.00
FinePix A340,169.00,2272,4.00,114.00,38.00
FinePix E500 Zoom,169.00,2304,4.00,91.00,28.00
FinePix E510 Zoom,169.00,2592,5.00,91.00,28.00
FinePix E550 Zoom,169.00,4048,6.00,130.00,32.00
FinePix F440 Zoom,169.00,2304,3.00,130.00,38.00
FinePix F450 Zoom,199.00,2592,5.00,130.00,38.00
FinePix F455 Zoom,199.00,2592,5.00,130.00,38.00
FinePix F710,169.00,2832,3.00,130.00,32.00
FinePix F810 Zoom,169.00,4048,6.00,130.00,32.00
FinePix S20 Pro,1699.00,2832,6.00,210.00,35.00
FinePix S3 Pro,1699.00,4256,6.00,0.00,0.00
FinePix S3500 Zoom,229.00,2272,4.00,234.00,39.00
FinePix S5100 Zoom,229.00,2272,4.00,370.00,37.00
2005,189.00,2816,6.00,161.11,34.67
FinePix A345 Zoom,169.00,2304,4.00,105.00,35.00
FinePix A350 Zoom,169.00,2592,5.00,105.00,35.00
FinePix E900 Zoom,169.00,3488,9.00,128.00,32.00
FinePix F10 Zoom,179.00,2848,6.00,108.00,36.00
FinePix F11 Zoom,199.00,2848,6.00,108.00,36.00
FinePix S5200 Zoom,229.00,2592,5.00,380.00,38.00
FinePix S9000 Z,229.00,3488,9.00,300.00,28.00
FinePix Z1,179.00,2592,5.00,108.00,36.00
FinePix Z2,179.00,2592,5.00,108.00,36.00
2006,312.85,2900,5.85,137.15,32.23
FinePix A400 Zoom,169.00,2303,4.00,114.00,38.00
FinePix A500 Zoom,169.00,2592,5.00,114.00,38.00
FinePix A600 Zoom,169.00,2848,6.00,108.00,36.00
FinePix F20 Zoom,169.00,2848,6.00,108.00,36.00
FinePix F30 Zoom,169.00,2848,6.00,108.00,36.00
FinePix F31 fd,199.00,2848,6.00,108.00,36.00
FinePix F470 Zoom,169.00,2816,6.00,105.00,35.00
FinePix F650 Zoom,169.00,2816,6.00,180.00,36.00
FinePix S5 Pro,1699.00,4256,6.00,0.00,0.00
FinePix S6000 fd,399.00,2848,6.00,300.00,28.00
FinePix S9100,229.00,3488,9.00,300.00,28.00
FinePix V10 Zoom,179.00,2592,5.00,130.00,36.00
FinePix Z3,179.00,2592,5.00,108.00,36.00
2007,331.31,3394,8.08,176.77,32.46
FinePix A610,169.00,2848,6.00,117.00,39.00
FinePix A800,169.00,3296,8.00,108.00,36.00
FinePix A820,169.00,3296,8.00,156.00,39.00
FinePix A900,169.00,3488,9.00,156.00,39.00
FinePix A920,169.00,3488,9.00,156.00,39.00
FinePix F40 fd,199.00,3296,8.00,108.00,36.00
FinePix F480 Zoom,169.00,3264,8.00,112.00,28.00
FinePix F50 fd,199.00,4000,12.00,105.00,35.00
FinePix IS Pro,1699.00,4256,6.00,0.00,0.00
FinePix IS-1,169.00,3488,9.00,300.00,28.00
FinePix S5700 Zoom,229.00,3072,7.00,380.00,38.00
FinePix S8000 fd,399.00,3264,8.00,486.00,27.00
FinePix Z10 fd,399.00,3072,7.00,114.00,38.00
HP,179.00,2317,4.11,105.13,36.96
1998,179.00,1152,1.00,37.00,37.00
Photosmart C20,179.00,1152,1.00,39.00,39.00
Photosmart C30,179.00,1152,1.00,35.00,35.00
1999,179.00,1376,1.00,75.00,36.50
Photosmart C200,179.00,1152,1.00,35.00,35.00
Photosmart C500,179.00,1600,1.00,115.00,38.00
2000,179.00,1520,1.00,74.25,37.25
Photosmart C215,179.00,1280,1.00,43.00,43.00
Photosmart C315,179.00,1600,1.00,38.00,38.00
Photosmart C618,179.00,1600,1.00,108.00,34.00
Photosmart C912,179.00,1600,1.00,108.00,34.00
2001,179.00,2048,3.00,102.00,34.00
Photosmart 715,179.00,2048,3.00,102.00,34.00
2002,179.00,1971,2.60,130.60,36.40
Photosmart 320,179.00,1632,2.00,38.00,38.00
Photosmart 620,179.00,1632,2.00,102.00,36.00
Photosmart 720,179.00,2048,3.00,102.00,34.00
Photosmart 812,179.00,2272,3.00,111.00,37.00
Photosmart 850,179.00,2272,3.00,300.00,37.00
2003,179.00,2196,3.60,135.00,37.20
Photosmart 435,179.00,2048,3.00,36.00,36.00
Photosmart 635,179.00,1636,2.00,114.00,38.00
Photosmart 735,179.00,2080,3.00,114.00,38.00
Photosmart 935,179.00,2608,5.00,111.00,37.00
Photosmart 945,179.00,2608,5.00,300.00,37.00
2004,179.00,2330,4.00,109.80,37.80
Photosmart M307,179.00,2080,3.00,111.00,40.00
Photosmart M407,179.00,2320,4.00,111.00,40.00
Photosmart R507,179.00,2320,4.00,105.00,35.00
Photosmart R607,179.00,2320,4.00,105.00,35.00
Photosmart R707,179.00,2608,5.00,117.00,39.00
2005,179.00,2550,4.88,100.00,36.25
Photosmart E317,179.00,2560,5.00,35.00,35.00
Photosmart M22,179.00,2320,4.00,36.00,36.00
Photosmart M23,179.00,2320,4.00,36.00,36.00
Photosmart M417,179.00,2576,5.00,108.00,36.00
Photosmart M517,179.00,2576,5.00,108.00,36.00
Photosmart R717,179.00,2864,6.00,117.00,39.00
Photosmart R817,179.00,2592,5.00,180.00,36.00
Photosmart R818,179.00,2592,5.00,180.00,36.00
2006,179.00,2823,6.00,102.57,37.43
Photosmart E327,179.00,2560,5.00,35.00,35.00
Photosmart M425,179.00,2576,5.00,114.00,38.00
Photosmart M525,179.00,2800,6.00,114.00,38.00
Photosmart M527,179.00,2800,6.00,114.00,38.00
Photosmart R725,179.00,2864,6.00,118.00,39.00
Photosmart R727,179.00,2864,6.00,118.00,39.00
Photosmart R927,179.00,3296,8.00,105.00,35.00
2007,179.00,2967,6.57,116.86,37.29
Photosmart E337,179.00,2576,5.00,36.00,36.00
Photosmart M437,179.00,2576,5.00,114.00,38.00
Photosmart M537,179.00,2848,6.00,114.00,38.00
Photosmart Mz67,179.00,3264,8.00,210.00,35.00
Photosmart R742,179.00,3096,7.00,108.00,36.00
Photosmart R837,179.00,3112,7.00,118.00,39.00
Photosmart R937,179.00,3298,8.00,118.00,39.00
JVC,14.00,2032,3.00,86.00,37.00
2001,14.00,2032,3.00,86.00,37.00
GC-QX3HD,14.00,2032,3.00,86.00,37.00
GC-QX5HD,14.00,2032,3.00,86.00,37.00
Kodak,130.60,2370,4.38,114.82,30.74
1994,129.00,1524,1.00,0.00,0.00
DCS420,129.00,1524,1.00,0.00,0.00
1995,129.00,3060,6.00,0.00,0.00
DCS460,129.00,3060,6.00,0.00,0.00
1998,128.57,1611,1.43,38.57,19.29
DC200,129.00,1152,0.00,39.00,39.00
DC210 plus,129.00,1152,0.00,58.00,29.00
DC220,129.00,1152,0.00,58.00,29.00
DC260,129.00,1536,1.00,115.00,38.00
DCS315,126.00,1520,1.00,0.00,0.00
DCS520,129.00,1728,2.00,0.00,0.00
DCS560,129.00,3040,6.00,0.00,0.00
1999,128.67,1716,1.89,56.00,23.67
DC200 plus,129.00,1152,0.00,39.00,39.00
DC215,129.00,1152,0.00,58.00,29.00
DC240,129.00,1280,1.00,117.00,39.00
DC265,129.00,1536,1.00,115.00,38.00
DC280,129.00,1760,2.00,60.00,30.00
DC290,129.00,1792,2.00,115.00,38.00
DCS330,126.00,2008,3.00,0.00,0.00
DCS620,129.00,1728,2.00,0.00,0.00
DCS660,129.00,3040,6.00,0.00,0.00
2000,128.50,1720,1.83,48.67,28.00
DC3200,129.00,1152,0.00,39.00,39.00
DC3400,129.00,1760,2.00,76.00,38.00
DC3800,129.00,1760,2.00,33.00,33.00
DC4800,129.00,2160,3.00,84.00,28.00
DC5000,126.00,1760,2.00,60.00,30.00
DCS620x,129.00,1728,2.00,0.00,0.00
2001,129.00,1825,2.38,39.00,26.50
DCS720x,129.00,1728,2.00,0.00,0.00
DCS760,129.00,3032,6.00,0.00,0.00
DX3215,129.00,1280,1.00,60.00,30.00
DX3500,129.00,1800,2.00,38.00,38.00
DX3600,129.00,1800,2.00,70.00,35.00
DX3700,129.00,2160,3.00,37.00,37.00
DX3900,129.00,2160,3.00,70.00,35.00
mc3,129.00,640,0.00,37.00,37.00
2002,128.25,2336,4.13,68.50,32.13
CX4200,129.00,1632,2.00,37.00,37.00
CX4230,129.00,1632,2.00,108.00,36.00
CX4300,126.00,2080,3.00,76.00,38.00
DCS 14n,129.00,4536,13.00,0.00,0.00
DX4330,126.00,2160,3.00,114.00,38.00
DX4900,129.00,2448,4.00,70.00,35.00
LS420,129.00,1752,2.00,38.00,38.00
LS443,129.00,2448,4.00,105.00,35.00
2003,127.50,2070,3.25,142.13,36.50
CX6200,129.00,1632,2.00,37.00,37.00
CX6230,129.00,1632,2.00,108.00,36.00
CX6330,126.00,2032,3.00,111.00,37.00
DX4530,126.00,2580,5.00,114.00,38.00
DX6340,126.00,2032,3.00,144.00,36.00
DX6440,129.00,2304,4.00,132.00,33.00
DX6490,129.00,2304,4.00,380.00,38.00
LS633,126.00,2041,3.00,111.00,37.00
2004,126.92,2563,5.46,105.77,30.54
CX7220,129.00,0,2.00,78.00,37.00
CX7300,126.00,2096,3.00,37.00,37.00
CX7330,126.00,2032,3.00,111.00,37.00
CX7430,126.00,2408,4.00,102.00,34.00
CX7530,126.00,2560,4.00,102.00,34.00
DCS SLR/c,129.00,4500,13.00,0.00,0.00
DCS SLR/n,129.00,4500,13.00,0.00,0.00
DX7440,129.00,2304,4.00,132.00,33.00
DX7590,126.00,2576,5.00,380.00,38.00
DX7630,126.00,2872,6.00,117.00,39.00
LS743,126.00,2304,4.00,100.00,36.00
LS753,126.00,2569,5.00,108.00,36.00
LS755,126.00,2592,5.00,108.00,36.00
2005,141.00,2549,4.87,163.33,35.00
C300,129.00,2096,3.00,37.00,37.00
C310,129.00,2336,4.00,35.00,35.00
C330,129.00,2336,4.00,102.00,34.00
C340,129.00,2576,5.00,102.00,34.00
C360,129.00,2690,5.00,102.00,34.00
Easyshare One,296.00,2304,4.00,100.00,36.00
P850,146.00,2592,5.00,432.00,36.00
P880,146.00,3264,8.00,140.00,24.00
V530,126.00,2569,5.00,108.00,36.00
V550,126.00,2569,5.00,108.00,36.00
Z700,126.00,2304,4.00,175.00,35.00
Z730,126.00,2576,5.00,132.00,33.00
Z740,126.00,2576,5.00,380.00,38.00
Z7590,126.00,2576,5.00,380.00,38.00
Z760,126.00,2872,6.00,117.00,39.00
2006,126.69,2862,6.15,227.00,35.69
C433,126.00,2304,4.00,108.00,36.00
C533,126.00,2576,5.00,111.00,37.00
C643,126.00,2848,6.00,108.00,36.00
C663,126.00,2832,6.00,102.00,34.00
C743,126.00,3072,7.00,111.00,37.00
C875,126.00,3264,8.00,185.00,37.00
P712,126.00,3072,7.00,432.00,36.00
V570,129.00,2569,5.00,117.00,39.00
V610,129.00,2832,6.00,380.00,38.00
V705,126.00,3072,7.00,117.00,23.00
Z612,129.00,2848,6.00,420.00,35.00
Z650,126.00,2848,6.00,380.00,38.00
Z710,126.00,3072,7.00,380.00,38.00
2007,134.15,3191,7.69,144.08,36.31
C513,126.00,2572,5.00,108.00,36.00
C613,126.00,2848,6.00,108.00,36.00
C653,126.00,2848,6.00,108.00,36.00
C763,126.00,3072,7.00,105.00,35.00
M753,126.00,3056,7.00,111.00,37.00
M853,146.00,3296,8.00,111.00,37.00
M873,146.00,3264,8.00,114.00,38.00
M883,146.00,3280,8.00,114.00,38.00
